Data;Salário mínimo real - R$ (do último mês) - Instituto de Pesquisa Econômica Aplicada - GAC12_SALMINRE12;
1984.01;805,74520304089;
1984.02;734,252294001377;
1984.03;668,516698228431;
1984.04;610,380933251744;
1984.05;955,236128847376;
1984.06;868,699059011973;
1984.07;796,183919638856;
1984.08;733,334377821692;
1984.09;660,055212538374;
1984.10;597,38195312454;
1984.11;928,085937814426;
1984.12;831,455788988748;
1985.01;743,45256955277;
1985.02;670,088728778701;
1985.03;609,478679363151;
1985.04;561,296841797806;
1985.05;1047,16760484914;
1985.06;966,605678623657;
1985.07;878,123537411962;
1985.08;786,759997943054;
1985.09;714,667508298657;
1985.10;648,222859350844;
1985.11;1022,52244050762;
1985.12;883,385873660873;
1986.01;768,096130108517;
1986.02;682,937038958496;
1986.03;886,986060513796;
1986.04;883,188336694509;
1986.05;873,79180889953;
1986.06;865,43668916941;
1986.07;857,654273828465;
1986.08;845,55390714755;
1986.09;835,596829228263;
1986.10;823,800539617945;
1986.11;797,577605278769;
1986.12;743,554406732738;
1987.01;763,820075108193;
1987.02;670,350965157897;
1987.03;830,874344908914;
1987.04;686,905530968693;
1987.05;669,392039933979;
1987.06;662,21225989296;
1987.07;602,391607439152;
1987.08;573,243073036939;
1987.09;651,76239447949;
1987.10;646,58811269162;
1987.11;639,31106055612;
1987.12;673,137626522796;
1988.01;707,260574994404;
1988.02;716,55939792052;
1988.03;717,113120915364;
1988.04;705,092007345315;
1988.05;715,589220843638;
1988.06;696,441632806842;
1988.07;679,477038176292;
1988.08;703,955371611497;
1988.09;676,135143877693;
1988.10;667,116506718778;
1988.11;676,527505798921;
1988.12;691,381990292065;
1989.01;686,411135227926;
1989.02;693,309805046792;
1989.03;654,683493834211;
1989.04;605,851894509917;
1989.05;661,501617812082;
1989.06;753,621938011591;
1989.07;738,438966940339;
1989.08;713,922292341519;
1989.09;677,242773084968;
1989.10;746,793644364251;
1989.11;734,375292337685;
1989.12;686,514235684056;
1990.01;664,9241094497;
1990.02;596,592199631757;
1990.03;600,268041113572;
1990.04;523,474353136279;
1990.05;487,815072532159;
1990.06;458,80099256369;
1990.07;517,954224951577;
1990.08;489,835665211728;
1990.09;498,967270956752;
1990.10;462,601097959465;
1990.11;512,928459160263;
1990.12;456,74486011291;
1991.01;526,720057816189;
1991.02;565,127050715992;
1991.03;540,654432337222;
1991.04;514,866742900969;
1991.05;482,627476345696;
1991.06;435,46019597307;
1991.07;388,311641963469;
1991.08;335,857955597693;
1991.09;717,655352811875;
1991.10;592,719638695246;
1991.11;468,630200272161;
1991.12;377,470992300658;
1992.01;685,452252598563;
1992.02;550,650571595009;
1992.03;452,764614776695;
1992.04;374,68030205181;
1992.05;720,741461030278;
1992.06;596,393400804315;
1992.07;488,526832944306;
1992.08;399,188375438486;
1992.09;731,011701963354;
1992.10;579,846317457003;
1992.11;471,841622230873;
1992.12;375,730139573119;
1993.01;698,857463493786;
1993.02;560,026693536319;
1993.03;599,952413156106;
1993.04;467,361762925468;
1993.05;712,37184501915;
1993.06;546,423067583634;
1993.07;585,835744400338;
1993.08;524,028944432003;
1993.09;670,660812417995;
1993.10;625,915606945835;
1993.11;574,945591429483;
1993.12;521,353361454546;
1994.01;646,627157141755;
1994.02;599,168135386587;
1994.03;491,793836041364;
1994.04;489,577592922324;
1994.05;493,360862446621;
1994.06;477,530850628726;
1994.07;434,913973024379;
1994.08;525,166980537732;
1994.09;559,563621149522;
1994.10;544,217047639394;
1994.11;528,569819486025;
1994.12;519,732250417752;
1995.01;512,355431264007;
1995.02;507,230371009492;
1995.03;499,142361305492;
1995.04;487,014483781988;
1995.05;681,423756620362;
1995.06;666,885400396165;
1995.07;650,874652949293;
1995.08;644,300937478924;
1995.09;636,848771707611;
1995.10;628,056276913975;
1995.11;618,715845888554;
1995.12;608,673213389722;
1996.01;599,915222305954;
1996.02;595,688096277359;
1996.03;593,965865638699;
1996.04;588,491125399454;
1996.05;650,781421305132;
1996.06;642,241123683185;
1996.07;634,62708433735;
1996.08;631,471482637276;
1996.09;631,345724907064;
1996.10;628,956565827278;
1996.11;626,824025660179;
1996.12;624,760614576111;
1997.01;619,739550374688;
1997.02;616,9610702264;
1997.03;612,79587628866;
1997.04;609,14137690545;
1997.05;651,932353756585;
1997.06;649,660184890023;
1997.07;648,493342478734;
1997.08;648,685995600417;
1997.09;648,039683997796;
1997.10;646,167634293445;
1997.11;645,199344313042;
1997.12;641,543465942876;
1998.01;636,136675776536;
1998.02;632,72215476322;
1998.03;629,637909017261;
1998.04;626,819129376868;
1998.05;674,201761648187;
1998.06;673,192169829859;
1998.07;675,08133451111;
1998.08;678,40490546197;
1998.09;680,514538169116;
1998.10;679,764908727661;
1998.11;680,990314819766;
1998.12;678,140963510027;
1999.01;673,762834162949;
1999.02;665,1829137654;
1999.03;656,775345073775;
1999.04;653,702848344881;
1999.05;683,531944837202;
1999.06;683,055788124733;
1999.07;678,038397557587;
1999.08;674,330024524116;
1999.09;671,71088635409;
1999.10;665,325720138267;
1999.11;659,131855309219;
1999.12;654,28966038211;
2000.01;650,322755030534;
2000.02;649,997398439064;
2000.03;649,152992904967;
2000.04;720,103110023962;
2000.05;720,462765957447;
2000.06;718,305732087616;
2000.07;708,458739026337;
2000.08;699,988742031166;
2000.09;696,991266533793;
2000.10;695,877492688516;
2000.11;693,864955867145;
2000.12;690,068492085798;
2001.01;684,794260587827;
2001.02;681,454096666568;
2001.03;678,198168760799;
2001.04;801,715281460717;
2001.05;797,171616492337;
2001.06;792,418894009217;
2001.07;783,719427780342;
2001.08;777,575092983032;
2001.09;774,170587308377;
2001.10;766,962455815613;
2001.11;757,193685462032;
2001.12;751,63326412414;
2002.01;743,677194044697;
2002.02;741,38064467451;
2002.03;736,814050272896;
2002.04;813,150964776482;
2002.05;812,420537897311;
2002.06;807,493343476607;
2002.07;798,311963021962;
2002.08;791,503376279051;
2002.09;784,98728911486;
2002.10;772,853588981251;
2002.11;747,514622743012;
2002.12;727,861826597523;
2003.01;710,316752174883;
2003.02;700,094354314191;
2003.03;690,632893090002;
2003.04;817,478907701976;
2003.05;809,466177093631;
2003.06;809,952308616243;
2003.07;809,626964824076;
2003.08;808,17148773986;
2003.09;801,598489616111;
2003.10;798,485729709022;
2003.11;795,541946061295;
2003.12;791,269138018059;
2004.01;784,755548139496;
2004.02;781,705343101531;
2004.03;777,276333186426;
2004.04;774,104151631405;
2004.05;835,270943415262;
2004.06;831,116948301824;
2004.07;825,094736842105;
2004.08;820,990211916754;
